VERSION -1073739260 0 0 0
LEAVE kind/msg/state/clicks 5 533 8 0
LEAVE kind/msg/state/clicks 5 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 5 0 0 0
FOCUS_CASE kind/mode 5 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 5 104 1 0
ENTER kind/msg/state/clicks 5 8 104 0
ENTER kind/msg/state/clicks 5 243 104 0
LEAVE kind/msg/state/clicks 5 243 104 0
ENTER kind/msg/state/clicks 5 533 8 0
LEAVE kind/msg/state/clicks 5 533 8 0
LEAVE kind/msg/state/clicks 5 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 5 0 0 0
FOCUS_CASE kind/mode 5 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 5 40 1 0
ENTER kind/msg/state/clicks 5 8 40 0
ENTER kind/msg/state/clicks 5 533 8 0
LEAVE kind/msg/state/clicks 5 533 8 0
LEAVE kind/msg/state/clicks 5 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 5 0 0 0
FOCUS_CASE kind/mode 5 3 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 5 12 0 0
ENTER kind/msg/state/clicks 5 8 12 0
ENTER kind/msg/state/clicks 5 243 12 0
LEAVE kind/msg/state/clicks 5 243 8 0
CLICK kind/state/capture/count 5 8 0 1
LEAVE kind/msg/state/clicks 5 8 0 1
FOCUS_CASE_AFTER kind/state/capture/clicks 5 0 0 1
DLGC kind/before/focused/style 6 8192 8192 6
SPACE_DOWN kind/state/capture/clicks 6 44 1 0
SPACE_UP kind/state/capture/clicks 6 9 0 1
HIGHLIGHT kind/state/capture/clicks 6 13 0 0
MOUSE_DOWN kind/state/capture/clicks 6 109 1 0
MOUSE_OUT kind/state/capture/clicks 6 105 1 0
MOUSE_BACK kind/state/capture/clicks 6 109 1 0
CAPTURE_LOST kind/state/capture/clicks 6 9 0 0
ENTER kind/msg/state/clicks 6 256 9 0
ENTER kind/msg/state/clicks 6 243 41 0
LEAVE kind/msg/state/clicks 6 243 45 0
LEAVE kind/msg/state/clicks 6 256 45 0
SECOND_SPACE_DOWN kind/state/capture/clicks 6 45 1 0
ENTER kind/msg/state/clicks 6 8 45 0
ENTER kind/msg/state/clicks 6 243 45 0
LEAVE kind/msg/state/clicks 6 243 41 0
ENTER kind/msg/state/clicks 6 533 10 0
LEAVE kind/msg/state/clicks 6 533 10 0
CLICK kind/state/capture/count 6 10 0 1
LEAVE kind/msg/state/clicks 6 8 2 1
FOCUS_LOST kind/state/capture/clicks 6 2 0 1
FOCUS_CASE kind/mode 6 0 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 6 108 1 0
ENTER kind/msg/state/clicks 6 8 108 0
ENTER kind/msg/state/clicks 6 243 108 0
LEAVE kind/msg/state/clicks 6 243 104 0
ENTER kind/msg/state/clicks 6 533 8 0
LEAVE kind/msg/state/clicks 6 533 8 0
LEAVE kind/msg/state/clicks 6 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 6 0 0 0
FOCUS_CASE kind/mode 6 1 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 6 104 1 0
ENTER kind/msg/state/clicks 6 8 104 0
ENTER kind/msg/state/clicks 6 243 104 0
LEAVE kind/msg/state/clicks 6 243 104 0
ENTER kind/msg/state/clicks 6 533 8 0
LEAVE kind/msg/state/clicks 6 533 8 0
LEAVE kind/msg/state/clicks 6 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 6 0 0 0
FOCUS_CASE kind/mode 6 2 0 0
FOCUS_CASE_BEFORE kind/state/capture/clicks 6 40 1 0
ENTER kind/msg/state/clicks 6 8 40 0
ENTER kind/msg/state/clicks 6 533 8 0
LEAVE kind/msg/state/clicks 6 533 8 0
LEAVE kind/msg/state/clicks 6 8 0 0
FOCUS_CASE_AFTER kind/state/capture/clicks 6 0 0 0
FOCUS_CASE kind/mode 6 3 0 0
